M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_08_VALOR,M_08_TEXTO,M_09_A,M_09_B,M_09_C,M_09_D,M_09_E,M_09_F,M_09_G,M_09_H,M_09_I,M_10_A,M_10_B,M_10_C,M_10_D,M_10_E,M_10_F,M_10_G,M_10_H,M_10_I,M_10_J,M_10_K,M_10_L,M_10_M,M_10_N,M_10_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44114,1,1,1
1,1,5,1,30,100000,30,1,2500,DOS MIL QUINIENTOS,,,,1,1,1,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,44681,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45134,1,1,1
9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45216,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45400,1,1,1
3,1,5,1,30,300000,60,1,5000,CINCO MIL,,,1,,,,,,,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,46020,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46486,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46500,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46770,1,1,1
3,1,2,1,1,2000,1,1,2000,DOS MIL PESOS,,,,1,,,,,,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,46881,1,1,1
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46890,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47039,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47044,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47298,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47472,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47564,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47615,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47669,1,1,1
3,1,2,2,,,6,1,2000,dos mil pesos,,,,,,1,,,,1,1,2,1,2,1,1,1,1,1,2,2,2,2,2,47860,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48219,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48260,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48363,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48670,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48939,1,1,1
