P_01,P_02,P_03,P_04,P_05,P_06,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,,,,2,,31984,1,1,1
,,2,,,,32028,1,1,1
2,,,,,,32053,1,1,1
2,,,,,,32104,3,1,3
,,,,2,,32174,1,1,1
2,,,,2,,32243,2,1,2
,,,,2,,32483,3,1,3
,,,,2,,32562,1,1,1
,,,,2,,32634,2,1,2
,,,,2,,32684,4,1,4
,,,,2,,32716,1,1,1
,,,,2,,32754,3,1,3
,,,,2,,32823,1,1,1
,,,,2,,32872,2,1,2
2,,,,,,32975,2,1,2
2,,,,,,32996,3,1,3
2,,,,,,33063,2,1,2
,,1,1,2,,33078,2,1,2
,,2,,,,33191,3,1,3
,,,,2,,33247,1,1,1
,,,,2,,33281,2,1,2
,,,,1,2,33288,1,1,1
1,2,,,2,,33302,1,1,1
1,2,2,,2,,33313,3,1,3
2,,,,,,33325,1,1,1
,,,,1,1,33368,1,1,1
,,,,1,1,33503,1,1,1
,,,,2,,33589,1,1,1
,,1,2,,,33611,1,1,1
2,,2,,,,33654,2,1,2
,,2,,,,33679,1,1,1
2,,,,,,33715,1,1,1
,,,,2,,33796,1,1,1
,,,,2,,33815,2,1,2
,,1,2,,,33853,1,1,1
2,,,,,,33908,2,1,2
2,,,,,,34060,1,1,1
,,,,2,,34161,1,1,1
,,,,2,,34269,3,1,3
,,,,2,,34314,3,1,3
,,,,2,,34336,1,1,1
1,2,,,,,34377,3,1,3
1,2,,,,,34389,2,1,2
,,2,,,,34417,1,1,1
,,,,2,,34443,1,1,1
,,,,2,,34483,2,1,2
,,2,,2,,34630,2,1,2
,,,,1,2,34679,2,1,2
,,,,2,,34682,1,1,1
,,,,2,,34694,1,1,1
,,1,2,2,,34718,1,1,1
2,,,,,,34846,1,1,1
1,1,,,,,34907,1,1,1
1,2,,,,,34954,2,1,2
2,,,,,,34969,1,1,1
,,,,1,2,34991,1,1,1
2,,,,,,35020,1,1,1
,,,,2,,35054,2,1,2
2,,,,,,35077,3,1,3
,,,,2,,35105,1,1,1
,,,,2,,35173,1,1,1
,,,,2,,35177,3,1,3
,,,,2,,35226,2,1,2
2,,,,,,35238,1,1,1
,,,,2,,35305,2,1,2
,,,,2,,35376,1,1,1
,,,,2,,35470,1,1,1
,,,,1,1,35515,1,1,1
,,,,1,2,35534,2,1,2
,,,,1,2,35713,1,1,1
,,,,2,,35762,2,1,2
,,,,1,2,35809,1,1,1
,,,,2,,36091,1,1,1
,,2,,2,,36148,2,1,2
,,,,1,2,36176,2,1,2
,,,,2,,36182,3,1,3
,,,,2,,36185,1,1,1
2,,,,,,36332,2,1,2
1,1,,,,,36366,2,1,2
,,,,2,,36397,2,1,2
2,,,,,,36459,4,1,4
,,,,2,,36471,2,1,2
,,,,2,,36513,1,1,1
,,,,2,,36530,3,1,3
2,,,,,,36757,2,1,2
,,,,2,,36776,1,1,1
2,,2,,2,,36822,2,1,2
,,,,2,,36823,1,1,1
,,,,1,2,36830,1,1,1
,,,,2,,36831,2,1,2
,,,,2,,37001,1,1,1
