R_01,R_02,R_03,R_04,R_05,R_06,R_07,R_08_A,R_08_B,R_08_C,R_08_D,R_09,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,0,,1,1,2,9,9,9,9,2,727,1,1,1
2,,0,,2,2,2,9,2,9,9,2,728,1,1,1
2,,0,,2,2,9,9,9,9,9,2,729,1,1,1
2,,0,,1,1,2,9,2,9,9,2,736,1,1,1
2,,0,,1,1,9,9,9,9,9,2,740,1,1,1
2,,0,,1,1,1,9,2,9,9,2,742,1,1,1
2,,0,,9,2,2,9,9,9,9,2,743,1,1,1
2,,0,,1,1,1,9,2,9,9,2,748,3,1,3
2,,0,,2,2,2,9,2,9,9,2,749,2,1,2
2,,0,,2,2,2,9,9,9,9,2,750,1,1,1
2,,0,,2,2,2,1,9,9,9,2,752,2,1,2
2,,1,2,1,2,9,9,2,9,9,2,753,2,1,2
2,,0,,2,2,2,9,9,9,9,2,758,1,1,1
2,,0,,1,1,1,9,2,9,9,1,760,2,1,2
2,,0,,1,1,2,9,9,9,9,2,761,1,1,1
2,,0,,2,1,2,9,9,9,9,2,762,2,1,2
2,,0,,2,2,9,9,9,9,9,2,763,1,1,1
2,,0,,2,2,2,9,9,9,9,2,765,2,1,2
2,,0,,2,2,2,9,9,9,9,2,766,2,1,2
2,,0,,1,1,2,9,2,9,9,1,768,1,1,1
2,,0,,1,1,2,9,9,9,9,2,769,1,1,1
2,,0,,1,1,1,9,2,9,9,9,770,2,1,2
2,,0,,2,2,2,9,9,9,9,2,771,1,1,1
2,,0,,1,1,1,9,2,9,9,2,772,2,1,2
2,,0,,1,2,2,9,2,9,9,2,773,2,1,2
2,,0,,2,2,2,9,9,9,9,2,774,1,1,1
2,,0,,1,2,2,2,2,9,9,2,777,1,1,1
2,,2,1,1,2,2,1,2,1,9,2,778,3,1,3
2,,0,,1,1,1,9,2,9,9,2,779,1,1,1
2,,0,,2,2,2,9,9,9,9,2,780,1,1,1
2,,0,,1,2,2,9,2,9,9,2,783,1,1,1
2,,0,,1,2,2,9,9,9,9,2,788,1,1,1
2,,0,,2,2,2,9,2,9,9,2,789,1,1,1
2,,0,,1,1,1,9,9,9,9,2,790,1,1,1
2,,0,,1,2,2,9,9,9,9,2,791,3,1,3
2,,0,,2,2,2,9,9,9,9,9,792,1,1,1
2,,0,,1,2,2,9,9,9,9,2,794,2,1,2
2,,0,,1,1,1,9,2,9,9,2,797,3,1,3
2,,0,,2,2,2,9,9,9,9,2,798,1,1,1
2,,0,,1,1,9,9,9,9,9,9,799,2,1,2
2,,0,,2,2,2,9,2,9,9,2,803,2,1,2
2,,3,2,2,2,9,9,9,9,9,2,805,1,1,1
2,,0,,2,1,9,9,2,9,9,2,808,2,1,2
2,,0,,1,1,1,9,9,9,9,2,810,1,1,1
2,,1,2,2,2,2,1,9,9,9,2,811,2,1,2
2,,0,,2,2,2,9,2,9,9,2,812,4,1,4
2,,0,,2,2,2,9,2,9,9,2,813,1,1,1
2,,0,,1,2,2,9,9,9,9,9,814,3,1,3
2,,0,,1,1,2,9,9,9,9,2,815,2,1,2
2,,0,,1,1,2,2,2,9,9,2,818,2,1,2
2,,0,,1,2,2,9,2,9,9,2,819,3,1,3
2,,0,,1,2,2,9,2,9,9,2,821,1,1,1
2,,0,,1,2,2,9,2,9,9,2,822,1,1,1
2,,0,,2,2,1,2,2,9,9,9,823,1,1,1
1,2,0,,2,2,2,9,2,9,9,2,824,2,1,2
1,2,1,2,1,2,2,9,2,9,9,2,826,2,1,2
2,,0,,1,2,2,9,2,9,9,2,827,1,1,1
2,,0,,2,2,9,9,2,9,9,2,828,2,1,2
2,,0,,2,2,2,9,2,9,9,2,829,1,1,1
2,,1,2,2,2,2,9,9,9,9,2,830,1,1,1
2,,0,,2,2,2,9,9,9,9,2,831,2,1,2
2,,0,,2,2,2,9,9,9,9,2,833,2,1,2
2,,0,,2,2,2,1,2,9,9,2,835,1,1,1
2,,1,1,2,2,2,9,9,9,9,2,836,2,1,2
2,,0,,2,2,2,2,2,9,9,2,837,1,1,1
2,,3,2,1,1,2,9,2,9,9,2,838,2,1,2
2,,0,,1,1,2,9,2,9,9,2,842,1,1,1
2,,1,2,1,1,1,1,1,9,9,2,843,3,1,3
2,,0,,2,2,2,9,9,9,9,9,844,3,1,3
2,,0,,2,2,2,9,2,9,9,2,847,4,1,4
