K_01_A,K_01_B,K_01_C,K_01_D,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_09_VALOR,K_09_TEXTO,K_10_A,K_10_B,K_10_C,K_10_D,K_10_E,K_10_F,K_10_G,K_10_H,K_10_I,K_11,K_11_A,K_11_B,K_11_C,K_11_D,K_11_E,K_12_A,K_12_B,K_12_C,K_12_D,K_12_E,K_12_F,K_12_G,K_12_H,K_12_I,K_12_J,K_12_K,K_12_L,K_12_M,K_12_N,K_12_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3501,1,1,1
1,1,,,3,1,5,2,,,60,1,2000,DOS MIL PESOS,,,1,,1,1,1,,,2,,,,,,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,3514,2,1,2
1,,,,2,1,5,1,30,50000,30,1,2000,DOS MIL PESOS,,,,,1,,,,,2,,,,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3523,1,1,1
,1,,,3,1,1,2,,,1,1,5000,CINCOMIL,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3528,3,1,3
,1,,,2,1,1,2,,,1,1,3000,TRES MIL,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3575,2,1,2
1,,,,3,1,4,1,6,50000,4,1,2000,DOS MIL PESOS,,,1,,,1,1,,,2,,,,,,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,3587,1,1,1
,1,,,3,1,5,1,30,60000,30,1,2000,DOS MIL PESOS,,,1,,,,,,,2,,,,,,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,3614,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3634,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3654,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3661,4,1,4
,1,,,2,1,2,2,,,2,1,2500,DOS MIL QUINIENTOS,1,,1,1,1,,,,,1,1,1,,,,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,3665,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3701,1,1,1
,1,,,3,1,1,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3730,1,1,1
,1,,,3,1,5,1,30,5000,60,1,2000,DOS MIL,,,,1,,,,,,1,1,,,,,2,2,2,2,2,1,1,1,2,1,2,1,2,2,1,3738,1,1,1
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3758,1,1,1
1,,,,2,1,2,2,,,1,1,3000,TRES MIL,,,,1,,,,,,2,,,,,,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,3761,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3781,1,1,1
1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3786,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3795,2,1,2
,1,,,3,1,2,2,,,2,2,,,,,,1,,,,,,2,,,,,,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3798,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3802,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3809,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3844,1,1,1
,1,,,1,1,1,1,1,5000,1,1,5000,CINCO MIL PESOS,,,,,1,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3884,1,1,1
,1,,,1,1,2,1,15,100000,15,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1,3896,2,1,2
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3931,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3934,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3951,5,1,5
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3970,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3988,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3989,1,1,1
1,,,,3,1,3,1,99,10000,5,1,2000,DOS MIL,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4011,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4013,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4016,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4026,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4077,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4080,1,1,1
1,1,1,,3,1,5,1,30,80000,60,1,2000,DOS MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,1,2,1,1,2,1,2,2,2,2,2,1,4087,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4115,3,1,3
1,1,,,3,1,4,1,10,10000,3,1,3000,TRES MIL PESOS,,,,,,1,,,,1,1,,,,,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,4135,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4163,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4166,1,1,1
1,1,1,,3,1,2,2,,,4,1,10000,DIEZ MIL PESOS,,,,1,,,,,,1,1,,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4174,3,1,3
1,,,,3,1,2,2,,,2,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4175,4,1,4
1,,,,3,1,1,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4184,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4188,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4199,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4227,1,1,1
,1,,,3,1,5,1,30,30000,30,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4270,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4273,1,1,1
1,1,1,,3,1,5,1,29,60000,43,1,4000,CUATRO MIL,,,1,1,1,,,,,1,1,1,,,,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,4278,7,1,7
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4285,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4312,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4314,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4339,2,1,2
,1,,,3,1,2,2,,,1,1,1000,MIL PESOS,,,,1,,,,,,1,1,,,,,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,4386,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4411,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4421,4,1,4
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4423,1,1,1
,1,,,3,1,2,2,,,1,1,3000,TRES MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4436,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4438,1,1,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4457,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4461,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4464,2,1,2
,1,,,3,1,2,2,,,3,1,1000,MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4465,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4506,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4516,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4522,5,1,5
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4529,1,1,1
,1,1,,2,1,1,2,,,1,1,2000,DOS MIL PESOS,,,1,,1,,,,,1,1,,,,,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,4532,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4559,1,1,1
,1,,,1,1,5,1,30,25000,60,1,1000,MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4577,2,1,2
1,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4590,2,1,2
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4625,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4636,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4647,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4674,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4695,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4787,3,1,3
,1,,,2,1,2,2,,,5,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4806,2,1,2
1,,,,3,1,4,1,4,10000,4,2,,,,,1,,,,,,,2,,,,,,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,4809,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4826,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4838,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4856,3,1,3
1,,,,2,1,2,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,4885,4,1,4
1,,,,3,1,9,1,1,98,10,2,,,,,,,,,,,1,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4921,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4935,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4949,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4979,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4984,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5002,2,1,2
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5017,2,1,2
1,,,,2,1,2,2,,,2,1,700,SETECIENTOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5041,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5052,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5094,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5119,1,1,1
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5132,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5138,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5212,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5240,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5242,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5262,1,1,1
1,,,,3,1,5,1,30,30000,32,1,2000,DOS MIL,,,,1,,,,,,1,1,,,,,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,5294,2,1,2
,1,,,3,1,5,1,30,10000,20,1,4000,CUATRO MIL,,,1,1,,,,,,1,1,,,,,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,5310,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5332,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5405,4,1,4
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5409,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5411,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5416,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5434,2,1,2
1,,,,3,1,5,1,15,98,15,1,3000,TRES MIL,,,,1,,1,,,,1,1,,,,,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,5442,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5453,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5469,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5483,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5499,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5520,3,1,3
1,1,,,3,1,4,1,20,60000,20,1,3000,TRES MIL PESOS,,,,1,,,,,,1,1,,,,,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,5523,5,1,5
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5534,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5545,2,1,2
,1,,,3,1,3,1,5,15000,5,1,1000,MIL PESOS,,,,,,1,,,,2,,,,,,1,2,2,1,1,1,2,2,2,2,1,2,1,2,1,5547,4,1,4
1,1,,,3,1,2,1,1,5000,1,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5557,3,1,3
,1,,,1,1,5,1,20,150000,30,1,2000,DOS MIL PESOS,,,,,,1,,,,2,,,,,,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,5560,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5562,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5564,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5581,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5609,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5611,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5633,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5642,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5661,1,1,1
1,1,1,,3,1,5,1,30,150000,90,1,3000,TRES MIL PESOS,,,1,,,,,,,1,1,,,,,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,5690,1,1,1
1,1,,,2,1,3,2,,,2,1,1000,MIL PESOS,,,,1,,,,,,1,1,,,,,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,5710,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5736,3,1,3
,1,,,3,1,4,1,5,10000,4,1,2000,DOS MIL PESOS,,,,,,1,,,,1,1,,,,,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,5737,3,1,3
1,,,,3,1,2,1,8,20000,12,1,2500,DOS MIL QUINIENTOS PESOS,,,1,,,,,,,2,,,,,,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,5738,1,1,1
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5764,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5775,5,1,5
,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5783,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5791,1,1,1
,1,,,3,1,4,1,15,50000,15,1,2000,DOS MIL PESOS,,,,1,1,,,,,1,1,1,,,,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,5801,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5804,3,1,3
1,,,,2,1,1,2,,,1,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,5812,4,1,4
1,1,,,2,1,2,2,,,2,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,5828,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5870,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5875,2,1,2
1,1,1,,3,1,4,1,22,35000,15,1,3000,TRES MIL PESOS,,,,1,,,,,,1,1,1,,,,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,5876,1,1,1
1,,,,3,1,2,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5931,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5937,1,1,1
1,1,1,,3,1,5,1,30,25000,40,1,5000,CINCO MIL PESOS,,,,1,,,,,,1,1,,,,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5951,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5959,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5967,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5971,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5974,5,1,5
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6015,1,1,1
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6018,1,1,1
1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6020,2,1,2
1,,,,3,1,2,1,1,30000,3,1,8000,OCHO MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,6045,2,1,2
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6057,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6071,2,1,2
1,1,1,,3,1,5,1,30,300000,70,1,600,SEISCIENTOS PESOS,,,1,,,,,,,1,1,1,,,,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,6093,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6119,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6139,1,1,1
1,,,,3,1,2,2,,,1,1,2000,DOS MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,6142,1,1,1
1,1,1,,3,1,5,1,30,60000,30,1,2000,DOS MIL PESOS,,,1,,,,,,,1,1,,,,,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,6181,3,1,3
,1,,,3,1,4,1,8,40000,10,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6192,5,1,5
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6193,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6204,4,1,4
1,,,,3,1,5,1,30,50000,10,1,2000,DOS MIL PESOS,1,1,1,1,1,1,1,,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6224,4,1,4
1,1,,,3,1,2,2,,,1,1,5000,CINCO MIL,,,,,,1,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6225,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6228,1,1,1
,1,,,3,1,5,1,8,30000,60,1,3000,TRES MIL,,,,,,,1,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6273,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6287,1,1,1
1,,,,3,1,2,2,,,1,2,,,,,,,,,,1,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,6291,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6296,3,1,3
,1,,,3,1,3,1,5,20000,8,1,2000,DOS MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,6308,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6324,1,1,1
,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6351,3,1,3
1,,,,3,1,1,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6352,3,1,3
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6413,2,1,2
,1,,,3,1,5,1,30,150000,30,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,6414,2,1,2
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6438,2,1,2
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6443,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6447,1,1,1
,1,,,3,1,5,1,30,30000,30,1,1000,MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,6449,4,1,4
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6454,3,1,3
,,1,,3,1,4,1,4,20000,4,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6488,2,1,2
1,,,,3,1,1,2,,,1,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,6533,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6542,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6620,2,1,2
1,,,,1,1,4,1,20,30000,20,1,1500,MIL QUINIENTOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6622,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6623,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6627,2,1,2
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6657,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6678,2,1,2
1,,,,1,1,4,1,15,60000,5,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,1,1,2,2,2,1,2,2,1,1,6679,1,1,1
1,,,,3,1,5,1,30,60000,120,1,2000,DOS MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6707,2,1,2
1,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6713,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6717,1,1,1
1,1,,,3,1,1,2,,,2,1,1000,mil pesos,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6726,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6764,1,1,1
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6768,1,1,1
