D2_01,D2_03,D2_04,D2_05,D2_05_A,D2_06,D2_07,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
9,6,0,5,511,1,2,510,3,1,3
9,5,2,6,602,1,2,511,1,1,1
5,5,2,5,511,1,2,512,1,1,1
9,6,0,5,511,1,1,513,3,1,3
9,2,3,6,603,1,1,514,1,1,1
9,6,1,5,511,1,1,515,2,1,2
5,5,2,3,302,1,2,516,1,1,1
9,6,1,7,705,1,2,517,2,1,2
9,2,4,4,409,1,2,518,2,1,2
5,3,2,5,512,1,2,519,1,1,1
9,5,0,5,511,1,1,520,1,1,1
9,6,0,5,511,1,2,521,2,1,2
9,2,3,5,511,1,2,522,2,1,2
9,6,1,5,512,1,2,523,1,1,1
9,6,0,5,511,,,524,9,1,9
5,6,0,5,511,,,526,4,1,4
5,2,2,4,406,1,2,527,1,1,1
5,2,3,5,513,1,1,528,1,1,1
9,6,1,6,604,1,1,529,4,1,4
1,3,2,4,407,1,2,530,1,1,1
9,2,2,3,303,1,2,531,2,1,2
9,6,0,5,511,1,2,532,1,1,1
5,6,1,8,801,1,2,533,3,1,3
5,2,2,7,710,1,2,534,2,1,2
9,6,0,4,407,1,2,535,1,1,1
5,5,1,6,603,1,2,536,6,1,6
9,6,0,8,802,1,2,537,1,1,1
9,6,0,4,406,,,538,3,1,3
9,6,1,8,801,1,2,539,1,1,1
9,5,2,7,705,1,2,540,2,1,2
9,2,1,6,602,1,2,541,4,1,4
9,1,1,5,511,1,2,542,2,1,2
5,2,1,5,512,1,2,543,2,1,2
9,6,0,3,305,1,1,544,1,1,1
5,2,2,1,100,1,2,545,2,1,2
5,2,2,7,710,1,2,546,1,1,1
9,3,2,5,511,1,2,547,2,1,2
5,2,3,5,511,1,2,548,2,1,2
9,2,5,5,511,1,1,549,1,1,1
9,6,0,5,511,1,2,550,5,1,5
9,6,1,7,705,1,2,551,2,1,2
1,6,0,8,801,1,2,552,1,1,1
5,3,2,5,512,1,2,553,2,1,2
9,3,3,4,400,1,2,554,2,1,2
9,1,1,6,601,1,1,555,3,1,3
9,3,1,8,801,1,1,556,1,1,1
9,3,1,3,305,1,2,557,2,1,2
9,6,0,5,511,1,1,558,3,1,3
5,2,0,5,511,1,2,559,2,1,2
1,6,3,3,305,1,1,560,1,1,1
9,3,3,3,305,1,2,561,2,1,2
9,5,0,5,512,1,2,562,1,1,1
9,6,0,4,408,,,563,3,1,3
9,6,0,7,704,1,2,564,3,1,3
9,2,3,5,512,1,2,565,2,1,2
9,2,4,7,703,1,2,566,2,1,2
9,1,0,4,408,1,2,567,6,1,6
9,2,1,5,511,1,2,568,2,1,2
9,3,3,3,305,1,1,569,1,1,1
9,6,0,5,510,1,1,570,5,1,5
9,2,2,5,511,1,2,571,2,1,2
9,5,4,5,511,1,2,572,1,1,1
9,3,2,6,602,1,2,573,2,1,2
9,2,3,4,408,1,1,574,1,1,1
5,5,3,6,604,1,1,575,5,1,5
9,3,7,6,602,1,1,576,4,1,4
9,5,3,8,801,1,2,577,1,1,1
9,6,0,7,701,1,2,578,1,1,1
9,6,0,3,305,,,579,2,1,2
9,6,0,4,408,,,580,3,1,3
9,5,3,6,604,1,2,581,1,1,1
9,6,0,5,511,1,1,582,2,1,2
5,5,3,5,511,1,2,583,2,1,2
5,6,0,5,511,1,2,584,3,1,3
5,6,2,4,409,1,2,585,1,1,1
9,2,1,5,511,1,1,586,1,1,1
9,3,2,8,802,1,2,587,2,1,2
5,6,0,6,601,1,2,588,2,1,2
5,1,2,5,512,1,2,589,2,1,2
9,1,0,6,602,1,2,590,1,1,1
9,6,0,4,408,,,591,3,1,3
9,3,4,5,511,1,2,592,2,1,2
9,1,1,7,710,1,2,594,1,1,1
9,3,1,6,603,1,2,595,2,1,2
9,2,1,6,602,1,2,597,3,1,3
9,6,0,3,300,1,1,598,1,1,1
3,5,1,6,602,1,2,599,2,1,2
9,3,3,3,305,1,1,601,1,1,1
9,6,1,6,602,1,2,602,2,1,2
9,6,0,7,705,1,2,603,3,1,3
