Depmuni,TIPO,SERVICIO,ESTRATO,TOTAL_PERSONAS,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,ESTADO_ENCUESTA,RECO_DIC
27001,1,1,1,3,545,1,1,1,,0
13001,2,1,2,4,546,1,1,1,,0
52001,2,1,2,2,547,1,1,1,,0
70215,1,1,1,4,548,1,1,1,,0
95001,2,1,2,2,549,1,1,1,,0
19001,1,1,3,5,550,1,1,1,,0
76364,1,1,3,3,551,1,1,1,,0
52001,2,1,4,2,552,1,1,1,,0
76364,1,1,3,3,553,1,1,1,,0
08001,2,1,3,5,554,1,1,1,,0
52001,1,1,2,4,555,1,1,1,,0
19001,1,1,6,2,556,1,1,1,,0
81001,1,1,2,6,557,1,1,1,,0
68547,1,1,2,3,558,1,1,1,,0
27001,2,1,1,2,559,1,1,1,,0
81001,1,1,2,1,560,1,1,1,,0
68547,1,1,3,4,561,1,1,1,,0
76364,2,1,3,2,562,1,1,1,,0
95001,2,1,2,4,563,1,1,1,,0
20001,1,1,2,3,564,1,1,1,,0
08758,2,1,2,8,565,1,1,1,,0
95001,1,1,1,4,566,1,1,1,,0
81001,2,1,2,6,567,1,1,1,,0
52001,1,1,2,3,568,1,1,1,,0
68547,1,1,2,2,569,1,1,1,,0
08758,2,1,2,5,570,1,1,1,,0
68307,1,1,1,3,571,1,1,1,,0
81001,1,1,2,1,572,1,1,1,,0
20001,2,1,2,4,573,1,1,1,,0
68547,1,1,3,1,574,1,1,1,,0
70215,1,1,1,5,575,1,1,1,,0
08001,1,1,4,5,576,1,1,1,,0
52001,2,1,4,3,577,1,1,1,,0
52001,3,1,4,1,578,1,1,1,,0
76364,1,1,3,3,579,1,1,1,,0
52001,1,1,2,4,580,1,1,1,,0
95001,1,1,2,1,581,1,1,1,,0
68547,2,1,2,2,582,1,1,1,,0
20001,2,1,2,4,583,1,1,1,,0
76364,2,1,3,3,584,1,1,1,,0
27001,1,1,1,3,585,1,1,1,,0
68547,2,1,3,3,586,1,1,1,,0
52001,2,1,4,2,587,1,1,1,,0
27001,2,1,1,3,588,1,1,1,,0
76364,1,1,3,5,589,1,1,1,,0
68547,2,1,2,2,590,1,1,1,,0
81001,1,1,2,3,591,1,1,1,,0
20001,2,1,2,6,592,1,1,1,,0
68547,1,1,3,2,594,1,1,1,,0
08001,2,1,4,3,595,1,1,1,,0
68547,1,1,2,5,597,1,1,1,,0
95001,1,1,1,1,598,1,1,1,,0
20001,2,1,2,3,599,1,1,1,,0
08758,2,1,3,7,601,1,1,1,,0
76364,2,1,3,3,602,1,1,1,,0
20001,2,1,2,6,603,1,1,1,,0
20001,2,1,2,5,604,1,1,1,,0
27001,1,1,1,5,605,1,1,1,,0
95001,1,1,1,4,606,1,1,1,,0
19001,1,1,3,3,607,1,1,1,,0
20001,2,1,2,3,608,1,1,1,,0
19001,1,1,6,3,610,1,1,1,,0
08758,2,1,2,4,611,1,1,1,,0
68547,1,1,3,4,612,1,1,1,,0
68547,2,1,2,3,613,1,1,1,,0
95001,1,1,1,2,614,1,1,1,,0
27001,1,1,1,5,615,1,1,1,,0
68547,2,1,2,4,616,1,1,1,,0
08758,2,1,2,2,617,1,1,1,,0
68547,1,1,3,3,618,1,1,1,,0
50001,1,1,3,3,621,1,1,1,,0
27001,1,1,1,7,622,1,1,1,,0
68547,1,1,2,2,623,1,1,1,,0
68547,2,1,2,4,624,1,1,1,,0
95001,1,1,1,3,626,1,1,1,,0
68547,1,1,3,1,628,1,1,1,,0
19001,1,1,3,2,629,1,1,1,,0
08758,2,1,2,3,630,1,1,1,,0
68547,2,1,2,5,631,1,1,1,,0
68547,1,1,2,7,632,1,1,1,,0
08758,1,1,1,3,633,1,1,1,,0
19001,1,1,6,2,634,1,1,1,,0
68547,2,1,3,2,635,1,1,1,,0
50001,1,1,3,2,636,1,1,1,,0
68547,1,1,2,5,637,1,1,1,,0
27001,2,1,1,1,638,1,1,1,,0
68547,1,1,2,5,640,1,1,1,,0
27001,1,1,1,4,641,1,1,1,,0
08758,1,1,1,3,642,1,1,1,,0
68547,1,1,2,4,643,1,1,1,,0
08758,1,1,2,6,644,1,1,1,,0
50001,2,1,2,2,645,1,1,1,,0
68547,1,1,3,4,646,1,1,1,,0
68547,2,1,2,4,647,1,1,1,,0
68547,2,1,2,6,648,1,1,1,,0
68547,2,1,2,4,649,1,1,1,,0
08758,1,1,1,3,650,1,1,1,,0
68547,1,1,2,3,651,1,1,1,,0
68547,1,1,2,9,652,1,1,1,,0
68547,1,1,2,4,653,1,1,1,,0
68547,1,1,3,10,654,1,1,1,,0
68547,1,1,2,3,655,1,1,1,,0
68547,2,1,3,6,657,1,1,1,,0
68547,2,1,2,5,658,1,1,1,,0
68547,1,1,2,7,659,1,1,1,,0
68547,2,1,3,2,660,1,1,1,,0
68547,2,1,3,2,661,1,1,1,,0
68547,2,1,3,3,662,1,1,1,,0
68547,2,1,2,2,663,1,1,1,,0
68547,2,1,3,1,664,1,1,1,,0
68547,1,1,2,1,665,1,1,1,,0
68547,1,1,3,6,666,1,1,1,,0
27001,1,1,1,4,668,1,1,1,,0
27001,1,1,1,4,669,1,1,1,,0
27001,1,1,1,4,670,1,1,1,,0
27001,1,1,1,3,671,1,1,1,,0
27001,1,1,1,4,672,1,1,1,,0
27001,1,1,1,2,673,1,1,1,,0
50001,2,1,2,1,674,1,1,1,,0
68547,1,1,3,4,675,1,1,1,,0
68307,1,1,3,6,676,1,1,1,,0
