J_01,J_02,J_03,J_04,J_05_A,J_05_B,J_05_C,J_05_D,J_05_E,J_05_F,J_06_A,J_06_B,J_06_C,J_06_D,J_06_E,J_06_F,J_06_G,J_06_H,J_06_I,J_07,J_08,J_09,J_10,J_11,J_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,,,,,,,,,,,,,,,,,,,,,,,2,,26239,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,26522,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,26713,4,1,4
,,,,,,,,,,,,,,,,,,,2,1,1,2,,,26861,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,2,26895,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,27406,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,27789,6,1,6
,,,,,,,,,,,,,,,,,,,3,2,,,,,27793,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,27808,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,27872,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,2,28161,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,28169,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,28254,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,28303,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,28622,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,28652,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,28683,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,28695,1,1,1
3,1,2,2,1,,,,,,,,,1,,,,1,,,,,,,,28705,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,28750,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,28992,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,28993,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,2,,29008,3,1,3
